Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Albania,ALB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,31.5719544148007,31.3042698874727
Algeria,DZA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,23.423105738908,20.407941949491
American Samoa,ASM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,68.2316118935837,61.6692426584235
Andorra,AND,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Angola,AGO,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,40.8362898299819,40.7907550532833
Antigua and Barbuda,ATG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,62.470548111624,69.2086423595831
Argentina,ARG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,14.4366857499034,17.9248783778462
Armenia,ARM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,39.3928940286073,41.3508013620849
Aruba,ABW,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,72.2527739552586,73.2345915426225
Australia,AUS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,21.853558200255,24.1117883614814
Austria,AUT,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,55.4622191178234,55.7607848112938
Azerbaijan,AZE,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,54.0922938620586,49.0506275016423
"Bahamas, The",BHS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,35.8399784397343,35.5641431446966
Bahrain,BHR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,79.2525219237919,76.485960757711
Bangladesh,BGD,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,12.6747879443391,13.0947573353039
Barbados,BRB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,41.0558673000406,41.7775316710853
Belarus,BLR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,70.4545454545455,65.0944096428465
Belgium,BEL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,83.0796294670067,82.3971820616943
Belize,BLZ,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,51.5800710305332,51.8967694718585
Benin,BEN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,27.2742306189085,29.6305271935478
Bermuda,BMU,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,51.4791563825902,51.7434243981752
Bhutan,BTN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,29.1897197991707,31.4575059018919
Bolivia,BOL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,25.9887950588635,24.9672622840166
Bosnia and Herzegovina,BIH,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,41.9845635628313,40.0400711149533
Botswana,BWA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,44.2281439237392,37.0878176552067
Brazil,BRA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,14.6349994952986,14.1229191903622
British Virgin Islands,VGB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Brunei Darussalam,BRN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,51.9331276945691,57.946040538108
Bulgaria,BGR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,65.7095232799399,63.9454784589651
Burkina Faso,BFA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,28.0789061419219,29.2576956603939
Burundi,BDI,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,5.6856543143069,5.17203999926172
Cabo Verde,CPV,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,45.865993464408,46.7050331370949
Cambodia,KHM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,61.5957275123247,61.0912965254955
Cameroon,CMR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,18.7362534690181,19.8500907473186
Canada,CAN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,32.3254037264858,32.3526958202565
Cayman Islands,CYM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,71.587849045473,69.4710256634634
